0.42491778511620903 -0.6672744692644695 0.028442644856016497 -0.07185067164154998	1 3 2 0
1.790609881276333 0.9374972826579322 -0.03382883748370179	2 1 0
0.5113250250470399 -0.7908439922941212 -2.264159810315848	2 1 0
0.9953750935401132 -0.25037890284292813 0.1823340232512658 0.996519625643319	1 2 0 3
-0.9814988591167169 -1.13108796804345	1 0
-1.7911655032165894 0.044457308056030355	0 1
-0.672576962806624 -0.11972261308886549 -0.8685013141977194 -1.757208391191017 1.0455780303869286	3 2 0 1 4
0.5465292979745038 -1.04207086695019	1 0
-0.6036557778932542 1.3430050556580007	0 1
-0.709064653173438 0.918424320299666 -0.01874674772765208 -0.8675997812151224 -1.0082577752508657	4 3 0 2 1
-2.4052353083812608 -0.7313265970138016 -1.1481603370525937	0 2 1
-1.7454094886716478 -0.2218124620820025 -0.3614823953288952 -0.3572016196775985	0 2 3 1
1.3022013945783277 -0.5326315480017124 0.12355239497301691 2.1026183450182123	1 2 0 3
-0.7232177800165492 1.3821179513927846	0 1
-1.3132368274850679 0.6361019103829901 -1.1782972470741848 0.11012403882682349 -1.8624715841388875	4 0 2 3 1
-0.2539874581885627 1.3251073291188467 0.5412283279055154 -1.288204438998564	3 0 2 1
0.5440137139166689 -2.612686318550451 1.1879038002603157 -1.1433932568958107	1 3 0 2
-0.6517440108154088 0.28450679305030896 1.8442161146981324	0 1 2
-0.19393041413203016 1.5178624643461773	0 1
-0.15524077660939217 0.09487428019954582 1.2795794089790937 0.5117730390312667	0 1 3 2
0.6603749478005064 -0.8060504094697054 0.013633673200246388 0.938082751485777	1 2 0 3
-1.0965930172872933 0.24449653780384922	0 1
2.6707703816284223 -1.4095872049760343 -0.16355394992854289	1 2 0
-2.4806398507377083 0.27304794264221544 -0.3352920920925327	0 2 1
-1.9263960004727043 -0.46252940376376794	0 1
-0.5771087512836991 0.32188179859621074 0.4167174843076871 -0.39305066969279934 -1.0246069088309868	4 0 3 1 2
0.15702960565192803 0.8610086058927311 1.262325766109151 -0.26893687299273783 -1.3340257254748165	4 3 0 1 2
-0.36120693071270205 -0.07486027569944084 -1.29493243500934	2 0 1
-1.4837020238314949 0.09539749052543586 0.9392052519103301 -1.6345077672751194 2.1002948691661687	3 0 1 2 4
0.7782769763220393 0.7433104219994737 0.6919486039934031 -0.8019467869830913 -0.09760615576393437	3 4 2 1 0
0.27364078616998666 -0.6917421654879392	1 0
-0.9238301789702095 -1.3662500452021495 0.7470853084616443 0.298357893837855	1 0 3 2
-0.05322009294231721 1.396608302425413 -1.422419555530164	2 0 1
1.3886631225208288 -2.193965477040886 -1.186331281400034 -1.260417519372238 -0.4295427620094816	1 3 2 4 0
0.9207233218407106 0.19993120351770352 -0.3161811773282882	2 1 0
0.34437567019173465 0.19954665702083738 0.0994506345602878 1.5522612842007175	2 1 0 3
0.02610007870727292 -0.17834426587646224 -0.4880471923576292 0.13776943074980383	2 1 0 3
-0.006207973267832447 -1.1129010292281256 -0.3803226188126222 -0.5190157631988348	1 3 2 0
-1.0660053050817706 0.020747600819814443 0.9872688540075334 0.5790979182930335 -0.18462822922343639	0 4 1 3 2
-0.3111063155166122 -0.9375379356137652 1.3944999551304524 -0.31113009757162574 0.2865208346974766	1 3 0 4 2
1.1585222776182067 -1.4485693757707294	1 0
-0.06867208177353555 0.42869587128545694 -1.3327277567826026 1.0459994229500693 -0.8863862863567089	2 4 0 1 3
1.284088798249988 -1.1947835220551093	1 0
-0.20288528980770473 1.2565813858142236 0.4633318147485928 0.4539539213954391 -1.0066797747716387	4 0 3 2 1
0.7900312073630454 1.1205294628829896 -0.8038649181802653 0.06575201527055899	2 3 0 1
-1.8862012750894719 -0.2611409670418971 -0.1847903382884209	0 1 2
-0.6061968658495372 0.16938165753083265	0 1
-0.35743315758734845 0.8617753586196663 0.17329612713341905 -0.3101522728696432 -0.4876542640581867	4 0 3 2 1
0.32924869213795477 -0.5422836068223704 -0.26940040718274305 -1.2702942045399177	3 1 2 0
-0.9465508179732937 1.1969815438771503 0.137276918019737 -0.08899102248181603 -0.39444850775870444	0 4 3 2 1
1.3073832423466891 -0.8319701252877655	1 0
0.9868379830928214 0.038847853736489454	1 0
-0.2511063789658513 -2.0639714801606215 1.874883338376717 1.3939007161867019	1 0 3 2
